"label","labelOO","labelCi"
"Aspettando le GEP: ricerca, tutela e valorizzazione nella provincia di Nuoro","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Sassari e Nuoro","Sassari"
"Apertura straordinaria serale delle Sale - Musei di Baglio Anselmi - Apertura serale straordinaria Musei di Baglio Anselmi","Sede di Soprintendenza Archivistica della Sicilia - Archivio di Stato di Palermo","Marsala"
"Giornate europee del Patrimonio 2022 - Castello di Capua_Copia_Copia","Sede di Museo archeologico Santa Maria delle Monache","Isernia"
"Giornate europee del Patrimonio 2022 - Castello di Capua_Copia_Copia_Copia","Sede di Complesso monumentale di San Vincenzo al Volturno","Castel San Vincenzo"
"Il patrimonio culturale vive","Sede di Direzione Regionale Musei Veneto","Treviso"
"Agata. Dall’icona cristiana al mito contemporaneo. I tesori dei musei regionali al Palazzo dell’Università","Sede di Soprintendenza Archivistica della Sicilia - Archivio di Stato di Palermo","Catania"
"Collemancio di Cannara – Area archeologica di Urvinum Hortense.","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio dell'Umbria","Cannara"
"Dante a Tivoli, Vita Nova III esposizione evocativa di giovani artisti italiani","Sede di Villa Adriana e Villa d'Este - Area archeologica di Villa Adriana","Tivoli"
"Giornate Europee del Patrimonio","Sede di Museo archeologico di Eboli e della Media Valle del Sele e Aree archeologiche delle fornaci SS. Cosma e Damiano e della Villa Romana di Paterno","Eboli"
"Giornate Europee del Patrimonio","Sede di Museo archeologico nazionale del Sannio Caudino","Montesarchio"
"Giornate Europee del Patrimonio 2022. Visite guidate alla Domus di San Benedetto dei Marsi","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di L'Aquila e Teramo","San Benedetto dei Marsi"
"Buona, perenne e abbondante. Approvvigionamento, uso e riuso dell'acqua nella Città di Biella tra '800 e '900","Sede di Archivio di Stato di Biella","Biella"
"AQUANAE Performance site specific","Sede di Direzione Regionale Musei Toscana","Lucca"
"Giornate europee del Patrimonio in ricordo di Otello Silvestri","Sede di Biblioteca Statale Isontina di Gorizia","Gorizia"
"MANN - Giornate Europee del Patrimonio 2022","Sede di Museo archeologico nazionale di Napoli","Napoli"
"VII evento del Piano di Valorizzazione 2022","Sede di Museo archeologico nazionale di Metaponto","Bernalda"
"GEP 2022 - Apertura serale","Sede di Musei Reali","Torino"
"Giornate Europee del Patrimonio","Sede di Certosa di San Giacomo","Capri"
"Giornate Europee del Patrimonio_Copia","Sede di Museo archeologico nazionale della Valle del Sarno","Sarno"
"Giornate Europee del Patrimonio","Sede di Castel Sant'Elmo e Museo del Novecento a Napoli","Napoli"
"Tra Cielo e Terra","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la Basilicata","Tolve"
"Giornate Europee del Patrimonio","Sede di Museo della ceramica Duca di Martina in Villa Floridiana","Napoli"
"24 e 25 settembre 2022: Giornate Europee del Patrimonio a Paestum e Velia","Sede di Parco archeologico di Paestum e Velia - Area archeologica di Paestum","Capaccio Paestum"
"Visite guidate e laboratori per la mostra “Dolce è la guerra per chi non l'ha vissuta”","Sede di Direzione Regionale Musei Sardegna","Calasetta"
"Aperture serali straordinarie al Museo e Real Bosco di Capodimonte","Sede di Museo e Real Bosco di Capodimonte","Napoli"
"VISITA GUIDATA AI BORGHI DI BORDIGHERA e DOLCEACQUA in provincia di IMPERIA","Sede di Direzione Regionale Musei Liguria","Bordighera"
"L'eredita' dei nuragici","Sede di Direzione Regionale Musei Sardegna","Lanusei"
"ASSISI 1822","Sede di Archivio di Stato di Perugia. Sezione di Assisi","Assisi"
"“Tahar Ben Jelloun. Erice un posto unico al mondo”","Sede di Soprintendenza Archivistica della Sicilia - Archivio di Stato di Palermo","Erice"
"Giornate europee del patrimonio. Il culto di Mitra a Spoleto","Sede di Archivio di Stato di Perugia. Sezione di Spoleto","Spoleto"
"Le Giornate Europee del Patrimonio 2022 al Parco archeologico del Colosseo","Sede di Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Gep 2022","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la provincia di Viterbo e per l'Etruria meridionale","Roma"
"GEP 2022","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la provincia di Viterbo e per l'Etruria meridionale","Cerveteri"
"Gep 2022","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la provincia di Viterbo e per l'Etruria meridionale","Santa Marinella"
"Gep 2022","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la provincia di Viterbo e per l'Etruria meridionale","Tarquinia"
"Area archeologica di Scerì - Ilbono. Giornate Europee del Patrimonio 2022","Sede di Direzione Regionale Musei Sardegna","Ilbono"
"Le aperture straordinarie e le iniziative dei luoghi della cultura della Direzione regionale musei della Toscana per le GEP 2022_Copia","Sede di Direzione Regionale Musei Toscana","Firenze"
"Alla scoperta dell'antica Roma"" e Apertura straordinaria delle terrazze","Sede di Museo delle navi romane di Nemi","Nemi"
"Incursioni sonore e Apertura straordinaria dei ballatoi","Sede di Museo delle navi romane di Nemi","Nemi"
"MArTA in Musica. Domenica 25 settembre ""Il Pianoforte da Camera"" della Gromoglasova","Sede di Museo archeologico nazionale di Taranto - MArTA","Taranto"
"Le Giornate Europee del Patrimonio alla Galleria nazionale di Cosenza","Sede di Galleria nazionale di Cosenza","Cosenza"
"Presentazione del “Taccuino di Bonn” di Luigi Pirandello, a cura di Fausto De Michele, Cristina Angela Iacono, Antonino Perniciaro","Sede di Biblioteca nazionale centrale di Roma","Roma"
"Le vigne di Roma, la riscoperta di una grande storia | Tavola rotonda","Sede di Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"#domenicaalmuseo 2 ottobre 2022","Sede di Gallerie dell’Accademia di Venezia","Venezia"
"#domenicaalmuseo 2 ottobre 2022","Sede di Gallerie dell'Accademia di Venezia","Venezia"
"Conversazioni d'arte sul tema del commercio nel Mediterraneo antico","Sede di Direzione Generale  Educazione, Ricerca e Istituti Culturali","Roma"
"Domenica di carta 2022","Sede di Archivio di Stato di Ancona","Ancona"
"Domenica 2 ottobre 2022 torna la #domenicalmuseo al Castello del Buonconsiglio_Copia","Sede di Castel Beseno","Besenello"
"Domenica 2 ottobre 2022 torna la #domenicalmuseo al Castello del Buonconsiglio_Copia_Copia_Copia","Sede di Castel Thun","Trento"
"Visita in relax al Museo Nazionale di Villa Pisani_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale di Villa Pisani","Stra"
"Giovanni Pascoli: libri e lettere a 110 anni dalla sua morte","Sede di Biblioteca Universitaria di Padova","Padova"
"Domenica di carta 2022 – Libri per tutti i gusti: ad ogni lettore il suo libro, ad ogni libro il suo lettore","Sede di Biblioteca Nazionale Marciana di Venezia","Venezia"
"Domeniche di Carta 2022","Sede di Biblioteca Universitaria di Genova","Genova"
"Domenica di carta 2022 - Archivio di Stato di Bergamo","Sede di Archivio di Stato di Bergamo","Bergamo"
"Domenica di Carta 2022","Sede di Archivio di Stato di Firenze","Firenze"
"Domenica di Carta 2022","Sede di Biblioteca Marucelliana di Firenze","Firenze"
"Diversi ma uguali alla Galleria Spada!","Sede di Galleria Spada","Roma"
"Esposizione documentaria ""Le pergamene dei Della Rovere""","Sede di Archivio di Stato di Savona","Savona"
"Aperture serali a Crypta Balbi_Copia","Sede di Museo nazionale romano - Crypta Balbi","Roma"
"L’Archivio di Stato di Torino e il Teatro della Città","Sede di Archivio di Stato di Torino","Torino"
"Domenica di carta. Presentazione libro: L'enigma della Medusa, di Alessandro Luciano","Sede di Biblioteca Universitaria di Napoli","Napoli"
"Mostra ""Officina Bardini"" per il centenario della morte di Stefano Bardini, il ""principe degli antiquari""","Sede di Direzione Regionale Musei Toscana","Firenze"
"GEP 2022 - Le proposte del Museo archeologico nazionale di Vibo Valentia","Sede di Museo archeologico nazionale ""Vito Capialbi""","Vibo Valentia"
"Voli di carta. Mostra di aquiloni di Anna Onesti","Sede di Istituto Centrale per la Patologia degli Archivi e del Libro","Roma"
"La strada in salita di Bruno Geddo","Sede di Biblioteca Universitaria di Pavia","Pavia"
"APPIA DAY - CICLO-PASSEGGIATA LUNGO LE VILLE DELL’APPIA ANTICA E VISITA AL PARCO ARCHEOLOGICO DELLA REGINA VIARUM","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Caserta e Benevento","Caserta"
"#APPIADAY2022 - SERVO LIBERATO, SCHIAVO CONIUGATO","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Caserta e Benevento","Caserta"
"Straordinariamente aperti a Palazzo Altemps_Copia","Sede di Museo nazionale romano - Palazzo Massimo","Roma"
"Denis Piel a Napoli: dal 7 ottobre al 20 novembre 2022 a Villa Pignatelli la mostra “DOWN TO EARTH”","Sede di Museo Diego Aragona Pignatelli Cortes e Museo delle Carrozze","Napoli"
"Eterno Boldini","Sede di Direzione regionale Musei Lombardia","Milano"
"Domenica di carta alla Biblioteca della Galleria Nazionale dell'Umbria","Sede di Galleria nazionale dell'Umbria","Perugia"
"Domenica di Carta 2022 - Apertura straordinaria","Sede di Biblioteca Statale di Macerata","Macerata"
"Domenica di carta 2022. Mirabil Archivio! Firme autografe e vicende di personaggi celebri","Sede di Archivio di Stato di Alessandria","Alessandria"
"LE GALLERIE PER TUTTI! APPUNTAMENTI SPECIALI PER I VISITATORI IPOVEDENTI E NON VEDENTI","Sede di Gallerie dell'Accademia di Venezia","Venezia"
"Masaccio e Angelico. Dialogo sulla verità nella pittura","Sede di Gallerie degli Uffizi – Gli Uffizi","San Giovanni Valdarno"
"Domenica di carta 2022 - Mostra documentaria: “L’antico Palazzo Martinengo. Storia e vicissitudini di un palazzo nobiliare”","Sede di Archivio di Stato di Sondrio","Sondrio"
"Navigare con Ulisse","Sede di Istituto Centrale per il Catalogo Unico delle biblioteche italiane e per le informazioni bibliografiche - ICCU","Roma"
"2002 - VENTI ANNI - 2022 CELEBRAZIONI DELLA LIRA ITALIANA E DELL’ EURO","Sede di Biblioteca nazionale Marciana","Venezia"
"2002 - VENTI ANNI - 2022 CELEBRAZIONI DELLA LIRA ITALIANA E DELL’ EURO","Sede di Biblioteca nazionale Marciana - Sale monumentali","Venezia"
"2002 - VENTI ANNI - 2022 CELEBRAZIONI DELLA LIRA ITALIANA E DELL’ EURO","Sede di Biblioteca Nazionale Marciana di Venezia","Venezia"
"Guglielmo Murari e la città di Bari. Dalla fabbrica di carte da gioco alla Fondazione per i “maritaggi”.","Sede di Archivio di Stato di Bari","Bari"
"Domenica di carta 2022","Sede di Archivio di Stato di Salerno","Salerno"
"Domenica di carta","Sede di Archivio di Stato di Massa","Massa"
"Domenica di carta 2022 - Donne e uomini di mare. Costruire la memoria con i documenti d’archivio - Archivio di Stato di Trieste","Sede di Archivio di Stato di Trieste","Trieste"
"Domenica di carta 2022","Sede di Soprintendenza Archivistica e Bibliografica della Lombardia","Milano"
"Mostra documentaria “Barletta e il puzzle della sua Storia“","Sede di Archivio di Stato di Bari. Sezione di Barletta","Barletta"
"Rocca Roveresca, Senigallia - Giornata Nazionale delle Famiglie al Museo","Sede di Rocca Roveresca di Senigallia","Senigallia"
"Domenica di carta 2022","Sede di Archivio di Stato di Bologna, Sezione di Imola","Imola"
"Ottobre a porte aperte. La Direzione regionale musei della Toscana potenzia la propria offerta culturale con riaperture e nuovi orari di visita dei musei.","Sede di Direzione Regionale Musei Toscana","Firenze"
"AL CENTRO DI ROMA/ ""Energie visive tra corpi e spazi museali""","Sede di Istituto autonomo Vittoriano e Palazzo Venezia - Palazzo Venezia","Roma"
"Ottobre al Museo Nazionale degli Strumenti Musicali","Sede di Museo nazionale degli strumenti musicali","Roma"
"Animali dalla A alla Z - Una mostra dedicata ai bambini","Sede di Gallerie Estensi - Pinacoteca nazionale di Ferrara","Ferrara"
"Click flash fotografando A di Getto.  Il turismo lento in Polesine costeggiando l'Adigetto e non solo","Sede di Archivio di Stato di Rovigo","Rovigo"
"Pezzi da 90. L’amore d’autore","Sede di Biblioteca Universitaria di Pavia","Pavia"
"XXII BORSA MEDITERRANEA DEL TURISMO ARCHEOLOGICO_Copia","Sede di Parco archeologico di Paestum e Velia - Museo archeologico nazionale","Capaccio Paestum"
"APERTURA STRAORDINARIA PER MOSTRA ""I TRAPPETI""","Sede di Archivio di Stato di Reggio Calabria. Sezione di Palmi","Palmi"
"Mostra e tavola rotonda ""Mediterranea. Carte. Isole. Confini""","Sede di Biblioteca Universitaria di Sassari","Sassari"
"Karmen Corak - Philippe Adrien  Mute Desire  (desiderio sommerso)","Sede di Museo Hendrik Christian Andersen","Roma"
"Gli Angeli ribelli di Osvaldo Licini e i dipinti nascosti","Sede di Pinacoteca di Brera","Milano"
"GEP 2022","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la città metropolitana di Milano","Milano"
"Museo della civiltà contadina - Giornate europee del patrimonio","Sede di Direzione Regionale Musei Molise","Chiauci"
"Apertura straordinaria del Museo e inaugurazione della mostra  Parthenium Calling: Lontano. I Pastori del Partenio","Sede di Museo del Palazzo della Dogana dei Grani e Area archeologica dell'Antica Abellinum","Atripalda"
"Apertura Parco archeologico di Veio – area archeologica del Santuario etrusco dell’Apollo","Sede di Direzione Musei Statali della Città di Roma","Roma"
"Gep 2022. Apertura serale con visita al Complesso Monumentale del San Michele","Sede di Direzione Generale Archeologia, Belle Arti e Paesaggio","Roma"
"Uomo e ambiente a Castelseprio: visite guidate e aperture straordinarie","Sede di Antiquarium e Parco archeologico di Castelseprio","Castelseprio"
"GIORNATE EUROPEE DEL PATRIMONIO 2022. VISITA GUIDATA DELL'AREA ARCHEOLOGICA DI FORCONA","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di L'Aquila e Teramo","L'Aquila"
"Giornate Europee del Patrimonio 2022. Apertura straordinaria di Palazzo Melatino a Teramo","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di L'Aquila e Teramo","L'Aquila"
"Giornate Europee del Patrimonio 2022. Apertura straordinaria di Palazzo Melatino a Teramo","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di L'Aquila e Teramo","Teramo"
"I Musei Reali a Tavola","Sede di Musei Reali","Torino"
"Soffiar traverso","Sede di Gallerie Nazionali di Palazzo Spinola","Genova"
"Visita in relax al Museo Nazionale di Villa Pisani_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale di Villa Pisani","Stra"
"Visita in relax al Museo Nazionale di Villa Pisani_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale di Villa Pisani","Stra"
"Disegnare il paesaggio: il territorio reggiano nelle mappe di G. Banzoli","Sede di Archivio di Stato di Reggio Emilia","Reggio nell'Emilia"
"#domenicalmuseo Apertura straordinaria, visite guidate e azione teatrale ""Le donne di Shakespeare""","Sede di Museo di Casa Vasari","Arezzo"
"#DOMENICALMUSEO Visita guidata gratuita “Giunta Pisano, il pittore dei francescani”","Sede di Museo nazionale di San Matteo","Pisa"
"Domenica di carta 2022 al Polo Bibliotecario di Potenza","Sede di Biblioteca Nazionale di Potenza","Potenza"
"CONOCCHIA DAY","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Caserta e Benevento","Caserta"
"Coperte-Scoperte: Note Scoperte e replica Copertine alla ribalta","Sede di Archivio di Stato di Vercelli","Vercelli"
"Domenica 2 ottobre 2022 #Appiaday2022 Programma delle iniziative","Sede di Anfiteatro campano","Santa Maria Capua Vetere"
"Domenica di Carta 2022. SAUL STEINBERG in mostra alla Biblioteca Nazionale Braidense","Sede di Pinacoteca di Brera - Biblioteca Nazionale Braidense di Milano","Milano"
"Visita guidata ai patrimoni dell'Archivio","Sede di Archivio di Stato di Trento","Trento"
"Domenica di carta 2022. Apertura straordinaria della Biblioteca Estense Universitaria","Sede di Gallerie estensi - Biblioteca estense universitaria","Modena"
"Domenica di Carta per grandi e piccini","Sede di Biblioteca nazionale di Napoli ""Vittorio Emanuele III""","Napoli"
"Io, Canova.  Genio Europeo","Sede di Museo civico di Bassano del Grappa","Bassano del Grappa"
"METTITI NEI MIEI PANNI","Sede di Gallerie dell'Accademia di Venezia","Venezia"
"F@MU 2022 al Museo nazionale archeologico della Sibaritide","Sede di Museo nazionale archeologico della Sibaritide","Cassano all'Ionio"
"AL CENTRO DI ROMA/ ""Pensieri di terracotta, scritture di bronzo. Algardi e il Battesimo di Cristo"" – Martedì 11 ottobre","Sede di Istituto autonomo Vittoriano e Palazzo Venezia - Palazzo Venezia","Roma"
"Apertura straordinaria pomeridiana per le GEP 2022","Sede di Museo di Casa Vasari","Arezzo"
"GIORNATE EUROPEE DEL PATRIMONIO 2022","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la città metropolitana di Reggio Calabria e la provincia di Vibo Valentia","Reggio di Calabria"
"Patrimonio culturale sostenibile: un'eredità per il futuro","Sede di Archivio di Stato di Salerno","Salerno"
"GEP 2022- In visita a Castel del Monte il 25 settembre: sostenibilità del patrimonio culturale oggi, ieri e domani","Sede di Castel del Monte","Andria"
"Vite restituite","Sede di Soprintendenza Archivistica della Sardegna","Cagliari"
"Domenica al Museo_Copia","Sede di Museo archeologico nazionale di Napoli","Napoli"
"GEP 2022 - TARANTO: la storia/le storie. Percorsi di visita guidati","Sede di Soprintendenza Nazionale per Il Patrimonio Culturale Subacqueo","Taranto"
"GEP 2022 - Ombre tra le Pietre","Sede di Direzione Regionale Musei Liguria","Genova"
"Poveri Gabbiani e altri Podcast","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Senza Barriere. Fruibilità e accessibilità dei Luoghi della Cultura e del Turismo come valore sociale","Sede di Museo nazionale romano - Terme di Diocleziano","Roma"
"Notte d'Oro 2022 al Museo Nazionale di Ravenna","Sede di Museo nazionale di Ravenna","Ravenna"
"Camminando nel Foro Romano con Francesco Rutelli","Sede di Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Villa degli Aurelii Cottae a Cottanello - apertura straordinaria","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per l'area Metropolitana di Roma e per la Provincia di Rieti","Cottanello"
"“Non me lo spiegavo, il mondo”, Cinematica Festival  al Museo Archeologico Nazionale delle Marche di Ancona - sabato 1° ottobre 2022","Sede di Museo archeologico nazionale delle Marche","Ancona"
"DOMENICA DI CARTA 2022 - APERTURA STRAORDINARIA DI ARCHIVI E BIBLIOTECHE","Sede di Archivio di Stato di Ascoli Piceno","Ascoli Piceno"
"#APPIADAY - AREA ARCHEOLOGICA","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Caserta e Benevento","Caserta"
"VERDI EREDITA' - la trasformazione","Sede di Archivio di Stato di Fermo","Fermo"
"XIX giornata nazionale degli amici dei musei FIDAM","Sede di Complesso Monumentale della Pilotta","Parma"
"Archivio di Stato di Novara - Studio Aldo Beldì","Sede di Archivio di Stato di Novara","Novara"
"Domenica di carta. I 160 anni dell'Istituto Tartaglia. Un archivio ritrovato","Sede di Archivio di Stato di Brescia","Brescia"
"Domenica di carta 2022","Sede di Archivio di Stato di Trapani","Trapani"
"Visite guidate al Museo nazionale Concordiese e all'Area Archeologica di Concordia Sagittaria | Domenica 4 ottobre_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale Concordiese di Portogruaro","Portogruaro"
"Parco Archeologico dell'Appia Antica. Villa dei Quintili. Su:ggestiva - musica pura per luoghi straordinari_Copia","Sede di Parco archeologico dell'Appia antica - Villa dei Quintili e Santa Maria Nova","Roma"
"Domenica di carta 2022 - Archivi e Biblioteche di Palazzo","Sede di Soprintendenza Archivistica e Bibliografica del Veneto e del Trentino Alto-Adige","Venezia"
"F@MU Famiglie al Museo: Diversi ma uguali Domenica 9 ottobre 2022 al MAN Marche","Sede di Museo archeologico nazionale delle Marche","Ancona"
"F@MU alla Direzione regionale Musei Lombardia","Sede di Direzione regionale Musei Lombardia","Milano"
"Ma come ti vesti? ...e ti rivesti? Domenica di carta","Sede di Archivio di Stato di Piacenza","Piacenza"
"Trappeti in Mostra","Sede di Archivio di Stato di Reggio Calabria. Sezione di Palmi","Palmi"
"Visita guidata allo scavo delle terme","Sede di Area archeologica di Nervia","Ventimiglia"
"Domenica di carta 2022 - Apertura straordinaria di Archivi e Biblioteche","Sede di Archivio di Stato di Enna","Enna"
"Visita guidata per famiglie","Sede di Villa romana del Varignano","Portovenere"
"Jacopo Vignali e le Gallerie degli Uffizi a San Casciano","Sede di Gallerie degli Uffizi","San Casciano in Val di Pesa"
"Domenica 9 ottobre sarà eccezionalmente aperta la biblioteca del VIVE","Sede di Istituto autonomo Vittoriano e Palazzo Venezia - Palazzo Venezia","Roma"
"""Tutti a scuola!!! La storia dell'Istituto R. Bonghi di Assisi attraverso le carte del suo archivio""","Sede di Archivio di Stato di Perugia. Sezione di Assisi","Assisi"
"La Villa di Carta. Esposizione di venti disegni inediti del Parco del complesso monumentale di Villa del Colle del Cardinale","Sede di Archivio di Stato di Perugia","Perugia"
"Mostra documentaria “L’Archivio si presenta”","Sede di Archivio di Stato di Bari. Sezione di Trani ","Trani"
"Barcolana e F@mu! Un weekend da non perdere!","Sede di Museo Storico e il Parco del Castello di Miramare","Trieste"
"Ad maiora et meliora semper. 400 anni di pergamene di laurea in Archivio","Sede di Archivio di Stato di Avellino","Avellino"
"Tra segni e suoni: apertura straordinaria","Sede di Biblioteca Nazionale  Sagarriga Visconti Volpi","Bari"
"Giornata nazionale delle famiglie al Museo : Laboratorio  “I nostri antenati Etruschi”_Copia","Sede di Parco archeologico di Cerveteri e Tarquinia - Museo archeologico nazionale di Tarquinia","Tarquinia"
"Apertura straordinaria dell'Archivio di Stato di Roma in occasione della Domenica di carta 2022","Sede di Archivio di Stato di Roma","Roma"
"F@Mu 2022 al Museo diocesano di Reggio Calabria","Sede di Museo diocesano Mons. Aurelio Sorrentino","Reggio di Calabria"
"Rolli Days","Sede di Gallerie Nazionali di Palazzo Spinola","Genova"
"PRESENTAZIONE DEL LIBRO TERRA SORELLA","Sede di Complesso Monumentale della Pilotta","Parma"
"Giornata di studio","Sede di Soprintendenza Archivistica e Bibliografica della Calabria","Reggio di Calabria"
"Il ruolo delle fonti archivistiche nella ricostruzione storica - Dialoghi di archeologia, architettura, arte e paesaggio","Sede di Ex Regio Museo archeologico","Cagliari"
"Presentazione della nuova Guida, a cura di Stefano Aiello e Antonia d'Aniello.","Sede di Museo nazionale della Certosa monumentale di Calci","Calci"
"Passeggiata in Fortezza","Sede di Fortezza di Santa Barbara","Pistoia"
"Tracce di Memoria","Sede di Museo archeologico di Eboli e della Media Valle del Sele e Aree archeologiche delle fornaci SS. Cosma e Damiano e della Villa Romana di Paterno","Eboli"
